address,flag,minTimeBetweenSentTnx,maxTimeBetweenSentTnx,avgTimeBetweenSentTnx,minTimeBetweenRecTnx,maxTimeBetweenRecTnx,avgTimeBetweenRecTnx,lifetime,sentTransactions,receivedTransactions,createdContracts,numUniqSentAddress,numUniqRecAddress,minValSent,maxValSent,avgValSent,minValReceived,maxValReceived,avgValReceived,totalTransactions,totalEtherSent,totalEtherReceived,totalEtherSentContracts,totalEtherBalance,activityDays,dailyMax,ratioRecSent,ratioSentTotal,ratioRecTotal,giniSent,giniRec,txFreq,stdBalanceEth
0xd0cc2b24980cbcca47ef755da88b220a82291407,1,0.000000,2387389.000000,58076.545455,89.000000,1501076489.000000,71482604.761905,46,66,21,0,47,17,0.000000,183.000000,5.559412,0.018779,266.000000,17.486340,87,366.92118982,367.21312980114294,0,0.2919399811429457,10,60,0.31343283582089554,0.75,0.23863636363636365,0.9691211713893201,0.888781827180771,1.891304347826087,147.70148366307865
0x4cdc1cba0aeb5539f2e0ba158281e67e0e54a9b1,1,0,0,0,3021091.000000,1502801951.000000,752911521.000000,35,0,2,0,0,2,0.000000,0.000000,0.000000,0.003541,0.010000,0.006771,2,0,0.013541267,0,0.013541267,2,1,2.0,0.0,0.6666666666666666,0,0.23847981167771556,0.05714285714285714,0.005
0x00e01a648ff41346cdeb873182383333d2184dd1,1,37.000000,25112882.000000,1710279.133333,0.000000,1500396779.000000,68206119.136364,299,15,22,0,13,21,0.000000,25.000000,13.330000,0.425099,49.999314,9.100750,37,199.95,200.21649427006633,0,0.26649427006634596,14,16,1.375,0.39473684210526316,0.5789473684210527,0.465449692265527,0.6142049090698547,0.12374581939799331,52.129574767356495
0x858457daa7e087ad74cdeeceab8419079bc2ca03,1,0.000000,642460.000000,15761.064220,0.000000,1500037361.000000,13525709.432432,36,109,111,0,54,104,0.000000,680.000000,14.959358,0.010000,193.500000,14.689887,220,1630.5700000000002,1630.5774191330897,0,0.007419133089570096,36,67,1.009090909090909,0.49321266968325794,0.502262443438914,0.9579055788163477,0.7941210837381596,6.111111111111111,233.68923143514345
0x240e125c20a4cc84bd6e7f8d1fd07aff4c06d43d,1,0,0,0,3894.000000,1500402258.000000,375140886.750000,82,1,4,0,1,4,1.900000,1.900000,1.900000,0.002199,1.000000,0.475550,5,1.9,1.9021994849491861,0,0.0021994849491862034,3,3,2.0,0.16666666666666666,0.6666666666666666,0,0.4065557949020531,0.06097560975609756,0.7577880958024008
0x2268751eafc860781074d25f4bd10ded480310b9,1,0.000000,9343461.000000,318072.415094,0.000000,1504094906.000000,20329403.148649,199,53,74,0,50,63,0.000000,1150.800000,21.721885,0.002387,880.000000,15.558149,127,1151.2598797559176,1151.3030257909177,0,0.04314603500006342,37,29,1.3703703703703705,0.4140625,0.578125,0.98102032486364,0.9382594217128959,0.6381909547738693,488.3198454431857
0xadf5b0c2103598fb66a61714152f1d1717d49fe0,1,833.000000,318689.000000,159761.000000,202.000000,1497861629.000000,49946200.700000,10,2,30,0,1,28,1.000000,181.664000,91.332000,0.016500,68.000000,6.089134,32,182.664,182.6740233237633,0,0.01002332376330628,7,17,10.0,0.06060606060606061,0.9090909090909091,0.49452546698361427,0.7911300017578605,3.2,76.14692057530172
0x379ce20c018fb6301c1872c429ec7270ffa4dc5b,1,46.000000,683.000000,256.250000,0,0,0,1,8,1,0,2,1,0.000000,0.080000,0.010000,0.090000,0.090000,0.090000,9,0.08,0.09,0,0.009999999999999995,1,9,0.1111111111111111,0.8,0.1,0.8749912500874989,0,9.0,0.025141574442188355
0x2b065809f6ec6df32878bcd26711a0e2bcf59c26,1,0.000000,563763.000000,70630.750000,114.000000,1499237694.000000,375083797.500000,30,20,4,0,18,3,0.000000,75.000000,7.462902,0.100000,147.000000,37.318312,24,149.258042721435,149.273246049435,0,0.01520332799998414,24,1,0.19047619047619047,0.8,0.16,0.8991108807001797,0.7383219390468078,0.8,49.58613693430178
0x42c5459911ae51d1d005cbe39749bd8d8e533c22,1,28.000000,177563.000000,8507.163265,70.000000,1499237674.000000,53554510.321429,9,49,28,0,35,23,0.000000,150.000000,6.213423,0.000000,139.000000,10.874718,77,304.4577280647965,304.4920985547965,0,0.034370489999957954,9,32,0.56,0.6282051282051282,0.358974358974359,0.9453436976706662,0.8376769774968842,8.555555555555555,43.2723559779603
